xf# UIP - User Installed Packages
# Date:      Tu, 21 May 2024 08:36:49 -0400
# Host:      orangepi5
# System:    MX-23.2_rpi_arm64 Libretto Dec 30, 2023
#
# List of user installed packages
# Package name                               Description

libu2f-udev                                  Universal 2nd Factor (U2F) — transitional package
libv4l-0-dbgsym                              debug symbols for libv4l-0
libv4l-dev                                   Collection of video4linux support libraries (development files)
libv4l-rkmpp-dbgsym                          debug symbols for libv4l-rkmpp
libv4l2rds0-dbgsym                           debug symbols for libv4l2rds0
libv4lconvert0-dbgsym                        debug symbols for libv4lconvert0
libwmf0.2-7-gtk                              Windows metafile conversion GTK pixbuf plugin - transitional package
libwrap0-dev                                 Wietse Venema's TCP wrappers library, development files
lightdm-gtk-greeter-mx23                     lightdm-gtk-greeter theme and configuration for MX 23
lightdm-gtk-greeter-settings                 settings editor for the LightDM GTK+ Greeter
linux-dtb-current-rockchip-rk3588            Linux DTB, version 6.1.43-rockchip-rk3588
linux-u-boot-orangepi5-current               Uboot loader 2017.09
lm-sensors                                   utilities to read temperature/voltage/fan sensors
login                                        system login tools
logrotate                                    Log rotation utility
lxtask                                       LXDE task manager
mawk                                         Pattern scanning and text processing language
mc                                           Midnight Commander - a powerful file manager
menulibre                                    advanced FreeDesktop.org compliant menu editor
mesa-utils                                   Miscellaneous Mesa utilities -- symlinks
mmc-utils                                    Userspace tools for MMC/SD devices
mousepad                                     simple Xfce oriented text editor
mousetweaks                                  mouse accessibility enhancements for the GNOME desktop
mpv                                          video player based on MPlayer/mplayer2
mx-cleanup                                   mx-cleanup
mx-comfort-themes                            mx-comfort themes for MX Linux
mx-conky                                     MX Conky
mx-datetime                                  MX Date & Time
mx-desktop-menu-l10n                         provides desktop directory translations used in MX Linux
mx-icons-start                               additional start menu icons
mx-locale                                    set system language and locale variables
mx-select-sound                              MX Select Sound
mx-service-manager                           mx-service-manager
mx-system                                    metapackage for packages needed for system functions
mx-tools                                     MX Tools Launcher
mx-tweak                                     MX Tweak
mx-usb-unmounter                             mx-usb-unmounter
mx-user                                      MX User manager
mx-viewer                                    Displays a URL in a window
mx23-artwork                                 Default wallpaper backgrounds for MX23
nala                                         command line frontend for the APT package manager
nano                                         small, friendly text editor inspired by Pico
ncurses-term                                 additional terminal type definitions
net-tools                                    NET-3 networking toolkit
netcat-openbsd                               TCP/IP swiss army knife
network-manager-gnome                        network management framework (GNOME frontend)
network-manager-l2tp                         network management framework (L2TP plugin core)
network-manager-openconnect                  network management framework (OpenConnect plugin core)
network-manager-openvpn                      network management framework (OpenVPN plugin core)
network-manager-pptp                         network management framework (PPTP plugin core)
network-manager-ssh                          network management framework (SSH plugin core)
network-manager-vpnc                         network management framework (VPNC plugin core)
nocache                                      bypass/minimize file system caching for a program
ntfs-3g                                      read/write NTFS driver for FUSE
openprinting-ppds                            OpenPrinting printer support - PostScript PPD files
openssh-server                               secure shell (SSH) server, for secure access from remote machines
orage                                        Calendar for Xfce Desktop Environment
orangepi-bsp-desktop-orangepi5               Orange Pi Board Specific Packages for desktop users using arm64 orangepi5 machines
orangepi-config                              Orange Pi configuration utility
orangepi-firmware                            Linux firmware
orangepi-plymouth-theme                      boot animation, logger and I/O multiplexer - orangepi theme
orangepi-zsh                                 Orange Pi improved ZShell
p7zip-full                                   7z and 7za file archivers with high compression ratio
pamix                                        Pulseaudio terminal mixer based in pavucontrol
papirus-mxblue                               papirus blue folders with tabs for MX
pavucontrol                                  PulseAudio Volume Control
pavucontrol-qt                               Qt port of volume control pavucontrol
pavumeter                                    PulseAudio Volume Meter
pinentry-curses                              curses-based PIN or pass-phrase entry dialog for GnuPG
#pipewire-pulse                              PipeWire PulseAudio daemon
plank                                        Elegant, simple, clean dock
plymouth-themes-mx							 Splash themes used by MX
printer-driver-all                           printer drivers metapackage
profile-sync-daemon                          Symlink and sync browser profile directories into RAM
pulseaudio-module-bluetooth                  Bluetooth module for PulseAudio sound server
python-is-python3                            symlinks /usr/bin/python to python3
python3-dev                                  header files and a static library for Python (default)
python3-setuptools                           Python3 Distutils Enhancements
qjournalctl                                  qt-based GUI for systemd's journalctl command
qpdfview									 Viewer for PDF files
qrencode                                     QR Code encoder into PNG image
qtmultimedia5-examples                       Examples for Qt 5 Multimedia module
quick-system-info-gui                        A utility to show quick-system-info (inxi, etc...) in a gui
qv4l2-dbgsym                                 debug symbols for qv4l2
qvidcap-dbgsym                               debug symbols for qvidcap
resolvconf                                   name server information handler
rfkill                                       tool for enabling and disabling wireless devices
rktoolkit                                    some small tool used in Rockchip SDK
rockchip-mpp-demos-dbgsym                    debug symbols for rockchip-mpp-demos
rsyslog                                      reliable system and kernel logging daemon
screen                                       terminal multiplexer with VT100/ANSI terminal emulation
slick-greeter                                Slick-looking LightDM greeter
smartmontools                                control and monitor storage systems using S.M.A.R.T.
smbclient                                    command-line SMB/CIFS clients for Unix
spice-vdagent                                Spice agent for Linux
stress                                       tool to impose load on and stress test a computer system
sudo                                         Provide limited super user privileges to specific users
sunxi-tools                                  tools for working with Allwinner (sunxi) ARM processors
swig                                         Generate scripting interfaces to C/C++ code
synaptic                                     Graphical package manager
sysfsutils                                   sysfs query tool and boot-time setup
sysstat                                      system performance tools for Linux
system-config-printer                        graphical interface to configure the printing system
terminator                                   multiple GNOME terminals in one window
thunar-archive-plugin                        Archive plugin for Thunar file manager
thunar-custom-actions-mx                     thunar custom actions for MX Linux
thunar-gtkhash                               thunar extension for computing checksums and more using gtkhash
thunar-modified-desktop-file                 modifies thunar desktop file to use filemanager icon instead of thunar
thunar-volman                                Thunar extension for volumes management
tightvncserver                               virtual network computing server software
toilet                                       display large colourful characters in text mode
tree                                         displays an indented directory tree, in color
tumbler                                      D-Bus thumbnailing service
unicode-data                                 Property data for the Unicode character set
update-inetd                                 inetd configuration file updater
usb-modeswitch                               mode switching tool for controlling "flip flop" USB devices
usbutils                                     Linux USB utilities
user-installed-packages                      list user installed packages
usrmerge                                     Convert the system to the merged /usr directories scheme
v4l-utils-dbgsym                             debug symbols for v4l-utils
viewnior                                     simple, fast and elegant image viewer
vim                                          Vi IMproved - enhanced vi editor
vlan                                         ifupdown integration for vlan configuration
whiptail                                     Displays user-friendly dialog boxes from shell scripts
wireless-regdb                               wireless regulatory database for Linux
wireless-tools                               Tools for manipulating Linux Wireless Extensions
wiringpi                                     The wiringPi libraries for the OrangePi, headers and gpio command
wpasupplicant                                client support for WPA and WPA2 (IEEE 802.11i)
x11-apps                                     X applications
xbacklight                                   simple utility to set the backlight level
xcursor-themes                               Base X cursor themes
xdg-user-dirs-gtk                            tool to manage well known user directories (Gtk extension)
xfce-superkey-mx                             allows super key to be used with keyboard combos
xfce4                                        Meta-package for the Xfce Lightweight Desktop Environment
xfce4-battery-plugin                         battery monitor plugin for the Xfce4 panel
xfce4-clipman                                clipboard history utility
xfce4-cpufreq-plugin                         cpufreq information plugin for the Xfce4 panel
xfce4-cpugraph-plugin                        CPU load graph plugin for the Xfce4 panel
xfce4-datetime-plugin                        date and time plugin for the Xfce4 panel
xfce4-diskperf-plugin                        disk performance display plugin for the Xfce4 panel
xfce4-docklike-plugin                        modern, docklike, minimalist taskbar for Xfce
xfce4-fsguard-plugin                         filesystem monitor plugin for the Xfce4 panel
xfce4-genmon-plugin                          Generic Monitor for the Xfce4 panel
xfce4-mount-plugin                           mount plugin for the Xfce4 panel
xfce4-netload-plugin                         network load monitor plugin for the Xfce4 panel
xfce4-notifyd                                simple, visually-appealing notification daemon for Xfce
xfce4-places-plugin                          quick access to folders, documents and removable media
xfce4-power-manager-plugins                  power manager plugins for Xfce panel
xfce4-screenshooter                          screenshots utility for Xfce
xfce4-sensors-plugin                         hardware sensors plugin for the Xfce4 panel
xfce4-smartbookmark-plugin                   search the web via the Xfce4 panel
xfce4-systemload-plugin                      system load monitor plugin for the Xfce4 panel
xfce4-taskmanager                            process manager for the Xfce4 Desktop Environment
xfce4-terminal                               Xfce terminal emulator
xfce4-timer-plugin                           timer plugin for Xfce panel
xfce4-verve-plugin                           Verve (command line) plugin for Xfce panel
xfce4-wavelan-plugin                         wavelan status plugin for the Xfce4 panel
xfce4-weather-plugin                         weather information plugin for the Xfce4 panel
xfce4-whiskermenu-plugin                     Alternate menu plugin for the Xfce desktop environment
xfce4-xkb-plugin                             xkb layout switch plugin for the Xfce4 panel
xfonts-100dpi                                100 dpi fonts for X
xfonts-75dpi                                 75 dpi fonts for X
xfonts-base                                  standard fonts for X
xfonts-scalable                              scalable fonts for X
xinit                                        X server initialisation tool
xorg-docs-core                               Core documentation for the X.org X Window System
xscreensaver                                 Screensaver daemon and frontend for X11
xserver-xephyr                               nested X server
xserver-xorg                                 X.Org X server
xserver-xorg-core-dbgsym                     debug symbols for xserver-xorg-core
xserver-xorg-dev                             Xorg X server - development files
xserver-xorg-legacy-dbgsym                   debug symbols for xserver-xorg-legacy
xserver-xorg-video-fbdev                     X.Org X server -- fbdev display driver
xterm                                        X terminal emulator
xtermcontrol                                 dynamic configuration of xterm properties
xtermset                                     change the characteristics of an xterm
xwallpaper                                   utility for setting image files as X wallpaper
zenity                                       Display graphical dialog boxes from shell scripts
zip                                          Archiver for .zip files
